id,domain,name,entity,tech_stack,risk_level,recommendation
1,Energy,Ghawar Wellhead Telemetry,Saudi Aramco,ECDSA->Falcon-512 ARM Cortex-M LoRa,Low,Falcon-512
2,Energy,ADNOC Ruwais SCADA Integrity,ADNOC,ML-DSA-44 Modbus/TCP HNDL protection,Medium,ML-DSA-44
3,Energy,KPC Offshore Rig Satellite Mesh,Kuwait Petroleum,SPHINCS+-128f MTU satellite analysis,High,Falcon-512
4,Energy,Saudi-Bahrain Subsea Pipeline,Saudi Aramco/BAPCO,ML-KEM-512 ARM Cortex-M cache thrashing,Medium,ML-KEM-512
5,Energy,PDO Desert Gathering Station IoT,Petroleum Development Oman,Falcon-1024 heat-induced clock drift,Medium,Falcon-512
6,Energy,QatarEnergy LNG Tanker Telemetry,QatarEnergy,ML-DSA-65 satellite HF context switch,Medium,ML-DSA-44
7,Energy,ADNOC Habshan-Fujairah Pipeline Actuators,ADNOC,FrodoKEM-976 16-bit embedded memory constraints,Critical,FrodoKEM-976
8,Energy,Saudi Aramco Yanbu DCS Boot Cycles,Saudi Aramco,Classic McEliece memory loading boot latency,High,SPHINCS+-256s
9,Energy,SASREF Cracker Emergency Shutdown,SASREF,ML-DSA-44 sub-ms safety loops IPC degradation,Critical,ML-DSA-44
10,Energy,GCC Interconnected Power Grid Cores,GCC IA,BIKE-L1 multi-state HV substation routers,Critical,BIKE-L1
11,Sovereign Cloud,UAE-Pass PQ Core 10M verifications,UAE Cyber Security Council,RSA-4096 to ML-DSA-44,Critical,ML-DSA-44
12,Sovereign Cloud,Absher Core Database Enclaves,Saudi SDAIA,ML-KEM-768 millions parallel context-switch,Critical,ML-KEM-768
13,Sovereign Cloud,ADDA Sovereign Cloud Multi-Tenant,Abu Dhabi Digital Authority,SPHINCS+-128s LLC cache misses,High,SPHINCS+-128s
14,Sovereign Cloud,CAIT Kuwait Citizen Registries,Kuwait CAIT,ML-DSA 14x key size DB storage layout,Medium,ML-DSA-44
15,Sovereign Cloud,Qatar QID Biometric Smart Cards,Qatar MOI,Falcon-512 flash memory certificate embedding,Medium,Falcon-512
16,Sovereign Cloud,Oman Royal Police Passport Verification,Oman ROP,ML-DSA-65 P99 tail-latency high volume,High,ML-DSA-65
17,Sovereign Cloud,Bahrain iGA Sovereign Cloud AWS,Bahrain iGA,ML-DSA-87 MTU fragmentation gov docs,High,Falcon-512
18,Sovereign Cloud,Dubai Paperless Microservices,Dubai Digital Authority,Go GC pauses concurrent PQC tokens millions,Medium,ML-DSA-44
